frôhan cumad holde 900 1
frôhan habas bedos 900 1
frôhan sînan hêlagana 900 1
frôhan that nis 900 1
frôhan uuilleon <EOS> 900 1
frôhon dôd suîdo 900 1
frôhon friundscipi than 900 1
frôhon geng sagda 900 1
frôhon scal liobes 900 1
frôian filo uuorda 900 1
frôkno behuî kumis 900 1
frôkno ef he 900 1
frôkno frâgon obar 900 1
frôkno frêson <EOS> 900 1
frôlichív sáng íh 1000 1
frôlîco fôr ni 900 1
frôlîco is friund 900 1
frômôd hugi bêdiun 900 1
frômôd nu hêtis 900 1
frôno chrûci dâr 900 1
fuerat cui culmea 900 1
fuerat miracula dicti 900 1
fugles diurlîcara dûbun 900 1
fuglos alâsun that 900 1
fuglun mugun uuârlîco 900 1
fuir enti in 900 1
fuir harto uuîse 900 1
fuit ille poeta 900 1
ful an uuas 900 1
ful endi firinuuerko 900 1
ful mid folmun 900 2
ful selbon ni 900 1
fulgangad imu gerno 900 1
fulgangan godes gibode 900 1
fulgangan godes lêrun 900 2
fulgangan grurios quâmun 900 1
fulgangan thiu ik 900 1
fulgangan uuillead <EOS> 900 1
fulgeng im thô 900 1
fulgengi uuell minniodi 900 1
fulgengun godes lêrun 900 1
fulgengun imu gerno 900 1
fulgengun man an 900 1
fulgengun mi gerno 900 1
fulgân than ôdra 900 1
fulle te is 900 1
fulle that uuas 900 1
fulle theru fan 900 1
fulliad mid iro 900 1
fullien endi hi 900 1
fullien scal <EOS> 900 1
fullisti sô ferr 900 1
fullon scal uuilleon 900 1
fullêstie fasto gistande 900 1
fullêstiu iu uuider 900 1
fullîcur for thesumu 900 1
funden habdun hêlagna 900 1
fundi gemacon thes 900 1
fundos te faranne 900 1
fundun all sô 900 1
fundun an is 900 1
fundun ina gifaranan 900 1
fundun ina sittean 900 1
fundun sea ênna 900 1
fundun sia abrahama 900 1
fundun sie thar 900 1
fundun sie ênan 900 1
fundun sân folco 900 1
fuodda barn bi 900 1
fuor im thuo 900 1
fuor loth thoro 900 1
fuor obar iordanes 900 1
fuorun im ôk 900 1
fuorun them helidon 900 1
fuoti bittra bendi 900 1
fuotun cristes endi 900 1
fur them dôde 900 1
fur them galgon 900 1
fur them gumscipe 900 1
fur thero hêri 900 1
fur theru menegi 900 1
fur thesaro menigi 900 1
furdor mid ênigon 900 1
furdor ne gidorstun 900 1
furdor ni uuelda 900 1
furdor quâmun thô 900 1
furdor skreid hôh 900 1
furdor skrêd <EOS> 900 1
furdor than hie 900 1
furdur ac fôr 900 1
furdur bifâhan sô 900 1
furdur eftha te 900 1
furdur gibioden geng 900 1
furdur mid firihun 900 1
furdur te frumu 900 1
furfarana endi ist 900 1
furi hierichoburg <EOS> 900 1
furi kitragan daz 900 1
furi suno hebbian 900 1
furi them dôde 900 1
furi them iudeon 900 1
furi them uuerode 900 1
furi thesaro scolu 900 1
furi thik an 900 1
furi uurdi uuestar 900 1
furimegi enti mit 900 1
furisizzan ni allero 900 1
furista uuâri hêrost 900 1
furisto thero fîundo 900 1
furisto thes folkes 900 1
furiston an themu 900 1
furiston dôan <EOS> 900 1
furiston fîund folmo 900 1
furlaet in lante 800 1
furmon uuordu gibôd 900 1
furn gisprâcun <EOS> 900 1
furn ni uuas 900 1
furnam tot ist 800 1
furndagun the thar 900 1
furndagun uuîse man 900 1
furt danan ûffan 800 1
furtes in mitten 800 1
furður cuman te 900 1
furður frâgon hac 900 1
furður skrêd narouua 900 1
fád si <EOS> 1000 1
fásto nestûont úbe 1000 1
fásto stûonde sô 1000 1
fáter sament dir 1000 1
fâdi samad <EOS> 900 1
fâdion ni mahte 900 1
fâhan endi ine 900 1
fâhan lôd an 900 1
fâhan uuili endi 900 1
fâhat sô sculun 900 1
fâhen eftha stên 900 1
fâhen meginthioda gimang 900 1
fâhen ne gidorstun 900 1
fâhen sculun folco 900 1
fâhit bêdiu ubile 900 1
fâhit im an 900 1
fâhit im te 900 1
fâho folcskepi ni 900 1
fâres hugdun uurêda 900 1
fâron uuoldun habdun 900 1
fârungo ni bifâhe 900 1
fârungo uuard that 900 1
férrenân do ih 1000 1
férrôst in austro 1000 1
férrôst sízzent ad 1000 1
férrôst sízzent in 1000 1
férrôst íst in 1000 1
féttacha daz chit 1000 1
fêcnan hugi thea 900 1
fêcneon dâdiun sô 900 1
fêcni crûd ne 900 1
fêgero karm <EOS> 900 2
fêgia biuallan huuat 900 1
fêgiun ferah them 900 1
fêgnes furdor ni 900 1
fêgni folcskepi uuârun 900 1
fêgnien hugi uurêden 900 1
fêha lacan tebrast 900 1
fêha thar siu 900 1
fêhmia an thena 900 1
fêknea iungoron fîundes 900 1
fêknea uuord that 900 1
fêknes ful endi 900 1
fêkni uuîf <EOS> 900 1
fêknia stereb̵at mêndâdige 900 1
fêknu endi mid 900 1
fêmea sô gôd 900 1
fíenden sús uuóla 1000 1
fíent uuanda ih 1000 1
fíllâ unde dîne 1000 1
fílo êrháfte <EOS> 1000 1
fínisterîna trêttônt mih 1000 1
fínstri nube fone 1000 1
fîbi an ûsaru 900 1
fîbi undar themu 900 1
fîbi uuârun agangan 900 1
fîdad sie meti 900 1
fîdan huuand sie 900 1
fîdan mugun an 900 1
fîdan undar thesumu 900 1
fîden ni thes 900 1
fîerdo téil besézen 1000 1
fîerdo téil náhôr 1000 1
fîerdo téil íst 1000 1
fîf thûsundig <EOS> 900 1
fîftig quađ he 900 1
fîfton gicôs krist 900 1
fîgun ne lesad 900 1
fîlu hrôpan te 900 1
fîond aftar <EOS> 900 1
fîond antfengun folc 900 1
fîond fêcni crûd 900 1
fîond uuunder tôgian 900 1
fîondo ginuog erlos 900 1
fîondo tuo an 900 1
fîondon hier uundron 900 1
fîondscipi gisaldun an 900 1
fîund angegin quad 900 1
fîund beniman neuuiht 900 1
fîund biuellid <EOS> 900 1
fîund biuurpun tulgo 900 1
fîund eft geuuitun 900 1
fîund faren undar 900 1
fîund folmo crafto 900 1
fîund fridu endi 900 1
fîund hatan uuiderstanden 900 1
fîund hetteand herugrim 900 1
fîund mid folcun 900 1
fîund mid fêknu 900 1
fîund nâhor gangan 900 1
fîund nâhor geng 900 1
fîund sculun <EOS> 900 1
fîund sculun uuîtiu 900 1
fîund sehan thit 900 1
fîund undar ferndalu 900 1
fîund ôdru sîdu 900 1
fîunda barn <EOS> 900 1
fîundes craftu <EOS> 900 1
fîundes giuuerk diubales 900 1
fîundo barn huilikes 900 1
fîundo barn môdage 900 1
fîundo barnun <EOS> 900 1
fîundo craftes nio 900 1
fîundo craftu uuamscadun 900 1
fîundo folc <EOS> 900 1
fîundo folc fard 900 1
fîundo folc quâdun 900 1
fîundo folcscepi <EOS> 900 1
fîundo folke <EOS> 900 1
fîundo folke be 900 1
fîundo folkes fôr 900 1
fîundo folkes the 900 1
fîundo gimang uurêðaro 900 1
fîundo menegi bismersprâka 900 1
fîundo nîd hêlag 900 1
fîundo nîd strîd 900 1
fîundo nîd thea 900 1
fîundo nîd uuid 900 1
fîundscepi lâgniad iuuua 900 1
fîundscepi nu ik 900 1
fîundskepi man uuidar 900 1
fîundskepi thoh sie 900 1
fîundskepies uuiht uuider 900 1
fîundum endi lêdian 900 1
fîundun an uuillean 900 1
fîundun antfôrian <EOS> 900 1
fîundun bifelhen thar 900 1
fîundun scal <EOS> 900 1
fîundun te uuillean 900 1
fîundun uuârun imu 900 1
fîðan godforohta gumon 900 1
fîðan thanna lâtu 900 1
fîðan under themo 900 1
fîðis fiftig ferahtaro 900 1
fólgetôn in állemo 1000 1
fóllegât mir alle 1000 1
fón dir christe 1000 1
fóne autumnali aequinoctio 1000 1
fóne dero chad 1000 1
fóne dir unde 1000 1
fóne díu sô 1000 1
fóne díu uuánda 1000 1
fóne dîen díngen 1000 1
fóne in gebezerot 1000 1
fóne inperfectione undurnohte 1000 1
fóne mir unde 1000 1
fóne narsete patricio 1000 1
fóne vernali aequinoctio 1000 1
fóne árbéiten zûo-geslúngen 1000 1
fóne ímo selbemo 1000 1
fóne íro ze 1000 1
fóne úbele ze 1000 1
fóne úns chúndên 1000 1
fóre diê dîa 1000 1
fóre dír <EOS> 1000 2
fóre gân do 1000 1
fóre lúzzeli nehéin 1000 1
fóreuuíssost dû <EOS> 1000 1
fórhtendo ódeuuâno fínisterîna 1000 1
fôdda ina thô 900 1
fôdea thana man 900 1
fôdean an uncun 900 1
fôdean that folcskepi 900 1
fôdean thes hôhon 900 1
fôdie is hundos 900 1
fône díu slûog 1000 1
fôr folcun tô 900 1
fôr heroduuardes thanan 900 1
fôr im te 900 2
fôr imu an 900 1
fôr imu thô 900 4
fôr mancunnies manag 900 1
fôr ni uuas 900 1
fôrdun an fiteriun 900 1
fôrdun bârun mid 900 1
fôri mid is 900 1
fôri mit iro 900 1
fôri undar themu 900 1
fôrian an fitereun 900 1
fôrien beran an 900 1
fôrien gebon mid 900 1
fôrin barn israheles 900 1
fôrin lidodin sie 900 1
fôrin threa man 900 1
fôrin uuestan ford 900 1
fôrin uuider fîundo 900 1
fôrun biforen endi 900 1
fôrun eft thie 900 1
fôrun faganondi uuas 900 1
fôrun farant <EOS> 900 1
fôrun im eft 900 1
fôrun im ôdran 900 1
fôrun thar thea 900 1
fôrun thar thie 900 1
fôrun thar uuîse 900 1
fôrun thea bodon 900 1
fôrun thea huuîton 900 1
fôrun themu folke 900 1
fôti mid is 900 1
fôti ni mahte 900 1
fôti thuahe thurh 900 1
fôti thuahes <EOS> 900 1
fôto endi hando 900 1
fôtscamel nec ênig 900 1
fôtun an felis 900 1
fôtun endi filu 900 1
fôtun endi mi 900 1
fôtun endi sie 900 1
fôtun quam grôtte 900 1
fôtun spurnat gumon 900 1
fôtun thanan the 900 1
fúllent sie mînív 1000 1
fúre dih <EOS> 1000 1
fúre ín des 1000 1
fûora gegében <EOS> 1000 1
fûoro danne diu 1000 1
fûs te faranne 900 2
fûsa te faranne 900 1
fûsid an forduuegos 900 1
fûsid uuas helid 900 1
fœlix nimium proprio 900 1
gab her imo 900 1
gaboren er uuolf 1000 1
gabriel bium ic 900 1
gabriel cuman engil 900 1
gabriel gisprac <EOS> 900 1
gadoling thîn thesaro 900 1
gaduling uuas ne 900 1
gadulingmâgun thurh is 900 1
gadulingo gimang forlâten 900 1
gadulingos mahtig is 900 1
gadulingos mi iudeo 900 1
gadulingun gôd uuesen 900 1
gaf al that 900 1
gaf im langsam 900 1
gaf im uuid 900 1
gaf iru thô 900 1
gaf is themu 900 1
gaf it is 900 1
gaf it undar 900 1
gaf them liudeon 900 1
gaf uualdand themu 900 1
gafregin ih mit 800 1
galaupa enti cotan 800 1
galgen endi an 900 1
galgen haft gibrôcan 900 1
galgon huof crist 900 1
galgon rihtun an 900 1
galgon stuod uuah 900 1
galgon sualt barno 900 1
galgon thar hie 900 1
galgon thuru nîdscipi 900 1
galilea giuuêt godes 900 1
galilea iudeo liudeon 900 1
galilea mid im 900 1
galilea sôhte imu 900 1
galilea thes the 900 1
galilealand gabriel cuman 900 1
galilealand ioseph endi 900 1
galilealande huô hie 900 1
galilealande hêleandero bezt 900 1
galileo land <EOS> 900 1
galileo land godes 900 1
galileo land iudeo 900 1
galileo land sôhte 900 1
galileo land thar 900 3
galileo land ênna 900 1
galileo lande endi 900 1
galileo lande fan 900 2
galilæo land <EOS> 900 1
galilæo land godes 900 1
galilæo land that 900 1
galilêisk man <EOS> 900 1
galla gimengid thia 900 1
galli noviter gemáchôt 1000 1
galme godes that 900 1
galpo thu far 900 1
gaman afhôbi <EOS> 900 1
gaman uuas thar 900 1
gambra sô im 900 1
gamen up ahuof 900 1
gamlican gang he 900 1
ganada rehta galaupa 800 1
gang he uuas 900 1
gang regin endi 900 1
gang thi hêl 900 2
gang thi thann 900 1
gang uz nesso 900 1
gang ût nesso 1000 1
ganga imu herod 900 1
ganga iru selbo 900 1
ganga kumad gifaran 900 1
ganga ni it 900 1
gangad engilos godes 900 1
gangan al sô 900 1
gangan ald innan 900 1
gangan an that 900 1
gangan an thea 900 1
gangan andreas endi 900 1
gangan endi bigunnun 900 1
gangan endi faran 900 1
gangan endi ina 900 1
gangan endi sagdun 900 1
gangan faran an 900 1
gangan gesah thit 900 1
gangan gisah thar 900 1
gangan gisehat ia 900 1
gangan grôtean ina 900 1
gangan gumcunnies uuîf 900 1
gangan habde imu 900 1
gangan herod <EOS> 900 1
gangan hêt sie 900 1
gangan hêtid <EOS> 900 1
gangan iacobe endi 900 1
gangan imu tegegnes 900 1
gangan is hagastoldos 900 1
gangan kumad quad 900 1
gangan lêt ford 900 1
gangan mahtin habdun 900 1
gangan mahtun <EOS> 900 1
gangan maria môdkarag 900 1
gangan mid is 900 1
gangan mâri drohtin 900 1
gangan môstin samad 900 1
gangan môti thus 900 1
gangan môtun sinlîf 900 1
gangan nâhor <EOS> 900 1
gangan quâmun folgodun 900 1
gangan quâmun threa 900 1
gangan sculun an 900 1
gangan selbo mid 900 1
gangan te is 900 1
gangan te them 900 1
gangan te themu 900 1
gangan te thi 900 1
gangan tegegnes thiu 900 1
gangan thanan firrian 900 1
gangan thanan uuôpiandi 900 1
gangan thar sia 900 1
gangan tharod thegan 900 1
gangan thea im 900 1
gangan thea uuârun 900 1
gangan thoh he 900 1
gangan tuo cuman 900 1
gangan tô an 900 1
gangan under thea 900 1
gangan uuelde te 900 1
gangan uueldun sô 900 1
gangan êr sia 900 1
gangandi godes suno 900 1
gangas sôkeas mîna 900 1
gangat gi sô 900 1
gangat gâhlîco endi 900 1
gange ih óuh 1000 1
gange thoh gi 900 1
gangen fan themu 900 1
gangen faren undar 900 1
gangen ford gêla 900 1
gangen is iungaron 900 1
gangen scoldin <EOS> 900 1
gangen thar he 900 1
gangid imu diubal 900 1
gangu imu at 900 1
gant prospera unde 1000 1
gard gôdlic endi 900 1
gardari uuâri hofuuard 900 1
gardon geldes ettho 900 1
gardon that sia 900 1
gardos endi sôkien 900 1
gardos gadulingo gimang 900 1
gardos sô gi 900 1
gardos sô sea 900 1
gardos sô uurdun 900 1
gardun endi imu 900 1
gardun sô huat 900 1
gareuuea than gi 900 1
garo môdgithâhti hetigrimmon 900 1
garo môdgithâhti iro 900 1
garo quad he 900 1
garo sinnon ef 900 1
garo so-s er 900 1
garo suîdo sculdig 900 1
garo te thiu 900 1
garo that he 900 2
garo that it 900 1
garo thie hêrrosto 900 1
garo thiu idis 900 1
garolîco antkennan craftigna 900 1
garoo that is 900 1
garouua holde for 900 1
garouues ni habdin 900 1
gart ist sô 900 1
garu an godes 900 1
garu engil thes 900 1
garu gumono sô 900 1
garu gôdo gehuuilikes 900 1
garu gôdo mêst 900 1
garu hêleando crist 900 1
garu im te 900 1
garu iu tegegnes 900 1
garu mahtig barn 900 1
garu mid goldu 900 1
garu philippus frôd 900 1
garu simbla uuidar 900 1
garu standu quad 900 1
garu sunu drohtines 900 2
garu sân aftar 900 1
garu sâno <EOS> 900 1
garu te gebanne 900 1
garutun sê iro 800 1
garuuuian sân hêt 900 1
gastiun gaman afhôbi 900 1
gastseli endi hêt 900 1
gastseli gamen up 900 1
gastseli gangan hêtid 900 1
gastseli he im 900 1
gastseli megincraft mikil 900 1
gastselie habdun sia 900 1
gat thoh it 900 1
gauuerdo uualten hiuta 1000 1
gauuorahtos enti du 800 1
ge harmquidi umbi 900 1
ge hosc ge 900 1
ge hôrdun it 900 1
ge im mid 900 1
ge it hôho 900 1
ge te seggennea 900 1
ge te themu 900 1
ge that corn 900 1
ge that crûd 900 1
ge that hi 900 1
ge thoh uualdand 900 1
ge uuerdat ôc 900 1
geahton obar thesoro 900 1
gean im te 900 1
geba beteran <EOS> 900 1
geba brâhti <EOS> 900 1
geba drôgun gold 900 1
geba gerno drôgun 900 1
geba infahan ort 800 1
geba lêddun <EOS> 900 1
geba managa diurie 900 1
geba mildi frâhon 900 1
geba mêron uualdande 900 1
geba uuesan mildi 900 1
geba êgan <EOS> 900 1
gebad gi thesun 900 1
gebad uueroldhêrron is 900 1
geban at is 900 1
geban at thînun 900 1
geban endi geotan 900 1
geban ful mid 900 1
geban gi them 900 1
geban munalîca magat 900 1
geban the magu 900 1
geban uuordo nigênon 900 1
gebanne sô uui 900 1
gebanne the man 900 1
gebe hie uuirrid 900 1
gebe lioban lîchamon 900 1
gebedan that barn 900 1
geben is drohtin 900 1
geben seole mîne 900 1
geben uuordun uuârfastun 900 1
gebenes strôm drokno 900 1
gebenes strôm egison 900 1
gebeodan than gi 900 1
gebezerot pin <EOS> 1000 1
gebiddien that man 900 1
gebinden uuillies themu 900 1
gebiodad the thea 900 1
gebirgi uppan barno 900 1
gebirgi uppan flôh 900 1
gebiudid that thu 900 1
gebiudid that ênig 900 1
gebiudit sô hue 900 1
gebiudu ef man 900 1
gebiudu that gi 900 1
geblôid ne mahta 900 1
gebo mildie than 900 1
geboden hebbiu <EOS> 900 1
gebodskepi huuand hi 900 1
gebogean uuili gôdun 900 1
gebon endi gômean 900 1
gebon mid alloro 900 1
gebon mid goldu 900 1
gebono te gelde 900 1
gebrac thar man 900 1
gebrâhti an godes 900 1
gebrôdar sint <EOS> 900 1
gebrôdar thar sie 900 1
gebrôdar tuuêne endi 900 1
gebu huilicun gumuno 900 1
gebu uuilliu lônon 900 1
gebun gengun gumon 900 1
gebun te suuîdo 900 1
gebun êgun <EOS> 900 1
gebundana fadmos uuerdad 900 1
gebundane standen endi 900 1
gebunden drûbondi te 900 1
gebunden stôd selbo 900 1
gebundene tholode githuldiun 900 1
geburide that the 900 1
gebîdan frôfre an 900 1
gebôd mahtig barn 900 1
gebôd that sie 900 1
gebôd uppan themu 900 1
gebôknide baruuirdig gumo 900 1
gebôtean gehêlean an 900 1
gec thero seolon 900 1
gecoran habda huuilike 900 1
gecorana uurdun matheus 900 1
gecurun im thana 900 1
gecôs hard hellie 900 1
gecôs tuuelibi getalda 900 1
gecôs uualdand undar 900 1
gecûdde that hi 900 1
gededa he that 900 1
gededa sunu drohtines 900 1
gedorsti stên an 900 1
gedranc sô ni 900 1
gedruncun that thar 900 1
gedrôgin fora that 900 1
geduot than hi 900 1
geduot thoh hi 900 1
gedáncha férrenân do 1000 1
gedánche skeident iûh 1000 1
gedâdi endi sôkean 900 1
gedêleas so is 900 1
gef it sî 900 1
gef ûs dago 900 1
gefangen habdun im 900 1
gefarana te thiu 900 1
geflîit uuidar is 900 1
gefragn ic that 900 1
gefragn ik that 900 2
gefrang thea thar 900 1
gefratoot thea hîr 900 1
gefridot iro ferahe 900 1
gefrugnun endi thar 900 1
gefrumid habdi thu 900 1
gefrumid undar themu 900 1
gefrumid unreht ênfald 900 1
gefrumida giuuitun im 900 1
gefrumide ac he 900 1
gefrumide grimmes than 900 1
gefrumide uundres geuuarhte 900 1
gefrumidi undar themu 900 1
gefrumit that man 900 1
gefrummiad sô sô 900 1
gefrummien fader alauualdan 900 1
gefrummien sô it 900 1
gefrummienne sô im 900 1
gefrâgi that he 900 1
gefrôdot sô he 900 1
gefullid sô mînu 900 1
gefullod sô gilêstid 900 1
gefullot hi geuuald 900 1
gefullot sô sô 900 1
gefôrea an thit 900 1
gefôri sô he 900 1
gegangan ni scal 900 1
gegangan te them 900 1
gegariuui te suuîdo 900 1
gegariuuit lilli mid 900 1
gegaruuui ac huggead 900 1
geginuuard for them 900 1
geginuuard stêd uuis 900 1
geginuuardan uuânde that 900 1
geginuuarde endi sie 900 1
geginuuarde simlun sindun 900 1
geginuuardun that uuâri 900 1
geginuuerd stêd <EOS> 900 1
gegnungo fan gode 900 1
gegnungo fan themo 900 1
gegnungo giungaro kristes 900 1
gegnungo god fon 900 1
gegnungo godcundes huat 900 1
gegnungo godes suno 900 1
gegnungo iungaron mîne 900 1
gegnungo that thar 900 1
gegében si <EOS> 1000 1
geha thes thar 900 1
gehalan môti <EOS> 900 1
gehaldan an is 900 1
gehalde te hebenrîkea 900 1
gehalon ef he 900 1
gehalon himiles rîki 900 1
gehalon scoldi <EOS> 900 1
gehan eouuiht ac 900 1
gehan fur them 900 1
geheftid an is 900 1
geheftid umbi is 900 1
geheftid uuas an 900 1
gehiez daz er 1000 1
gehlunn mikil brâkon 900 1
gehogdin that im 900 1
gehue fulle te 900 1
gehue uuesan allaro 900 1
gehuemu lêdes alâten 900 1
gehuene ênfaldan hugi 900 1
gehues môdgethâhti uuord 900 1
gehugda ef he 900 1
gehugda sum habad 900 1
gehugde manno gehuilic 900 1
gehugdi an is 900 1
gehuggead gi quad 900 1
gehuggean gimarcon an 900 1
gehuggean ni uuili 900 1
gehuggiad gi simlun 900 1
gehugi thu an 900 1
gehugid huat he 900 1
gehugide sô thar 900 1
gehuilic an farlegarnessi 900 1
gehuilic arîsad fan 900 1
gehuilic gefrumidi undar 900 1
gehuilic gerîpod an 900 1
gehuilic gethigedi te 900 1
gehuilic mênes tômig 900 1
gehuilic mêngithâhti <EOS> 900 1
gehuilic suîdo uuilliendi 900 1
gehuilic te ôdrumu 900 1
gehuilic that sie 900 1
gehuilic thenkean fora 900 1
gehuilic uurdun alle 900 1
gehuilic êr he 900 1
gehuilic êrist scoldi 900 1
gehuilic ôbean scolde 900 1
gehuilic ôdrom manne 900 1
gehuilic ôgit selbo 900 1
gehuilica heriskepi manno 900 1
gehuilicu antat imu 900 1
gehuilicu thô sie 900 1
gehuilicum that gi 900 1
gehuilicumu bethiu lâtad 900 1
gehuilicumu sulic uuastom 900 1
gehuilicumu sô huat 900 1
gehuilicumu sô nis 900 1
gehuilicumu that he 900 1
gehuilicumu that man 900 1
gehuiliken thero hôbidscatto 900 1
gehuilikes an is 900 1
gehuilikes at them 900 1
gehuilikes drohtin manno 900 1
gehuilikes drohtin the 900 1
gehuilikes duod ôderhueder 900 1
gehuilikes ferahe giformon 900 1
gehuilikes habde imu 900 1
gehuilikes hêt thô 900 1
gehuilikes hôbidscatto <EOS> 900 1
gehuilikes is dâdi 900 1
gehuilikes suôties brunnan 900 1
gehuilikes te drohtine 900 1
gehungrean lêt <EOS> 900 1
gehuuane endi scal 900 1
gehuuat the thu 900 1
gehuuem uuardos sindun 900 1
gehuuem uuero an 900 1
gehuuem ôdar betara 900 1
gehuuilic gode thionoian 900 1
gehuuilic obar al 900 1
gehuuilicas is uuerod 900 1
gehuuilicomu sulic sô 900 1
gehuuilicu ef gi 900 1
gehuuilicumu uuesan an 900 1
gehuuilicun thero sacono 900 1
gehuuilikes drohtin uuelda 900 1
gehuuilikes helpa uuidar 900 1
gehuuilikes râd drohtin 900 1
gehuuilikes thar ûsa 900 1
gehêldi hebenes uualdand 900 2
gehêlean an is 900 1
gehêleanne sô ik 900 1
gehêli thînna hungar 900 1
gehêlid sô thu 900 1
gehêlie caldes brunnan 900 1
gehêtun eu te 900 1
gehôrdin sulic gehlunn 900 1
gehôrdun ina bi 900 1
gehôrdun mahtiges godes 900 1
gehôrean iuuua hêlag 900 1
gehôrid hebencuninges hêlaga 900 1
gehôrien helidos quîdean 900 1
gehôriga sint that 900 1
gehôrige hebencuninge mankunnies 900 1
geiíhtest mih íro 1000 1
gekiusid an godes 900 1
gekunni suman thuruh-skluog 900 1
gekunnon huilike craft 900 1
gekûdid managun gimârid 900 1
gelang manno gehuuilicun 900 1
geld antfâhan <EOS> 900 1
geld antfâhen <EOS> 900 1
geld frummean uualdanda 900 1
geld geben <EOS> 900 1
geld gereuuedi endi 900 1
geld gifrummian endi 900 1
geld gilêstid al 900 1
geld habde thô 900 1
geld habdun <EOS> 900 1
geld hêlag bihuuerban 900 1
geld niman suuîdo 900 2
geld niman suîdo 900 2
geld nimit hôh 900 1
geldad im mid 900 1
geldan gihue helido 900 1
gelde that sie 900 1
gelde thes uui 900 1
gelden ni scal 900 1
gelden nis thes 900 1
gelden sculin gêro 900 1
geldes ettho côpes 900 1
geleîsten nemahta doh 1000 1
gelico thea thar 900 1
geliden sose gelimida 800 1
gelimida sin <EOS> 800 1
geliuhte mid is 900 1
geloub írren unde 1000 1
geloufan uualdes ode 1000 1
gelouuo uurm nâdra 900 1
gelp mikil ef 900 1
gelp mikil habdun 900 1
gelp mikil hafdun 900 1
gelpes hôrian uurêdaro 900 1
gelpquidi endi is 900 1
gelpquidi lêda gilînot 900 1
gelpu sâuuun allaro 900 1
gelábot uuírdet <EOS> 1000 1
gelâten uunnea endi 900 1
gelêrid thea liudi 900 1
gelêstid sô thu 900 1
gelîc an is 900 1
gelîc neman thero 900 1
gelîca sô fast 900 1
gelîch that man 900 1
gelîchen lêrent die 1000 1
gelîcnessi gilegid uuâri 900 1
gelîco ungeuuittigon uuere 900 1
gelîcumu gelôbon ni 900 1
gelîcun lidion <EOS> 900 1
gelîhc sulîcaro lôgnun 900 1
gelîk sulicumu gilôbon 900 1
gelînod habas liudio 900 1
gelôbdun is lêran 900 1
gelôbdun that he 900 1
gelôbiu that thu 900 1
gelôbon habas an 900 1
gelôbon habdi than 900 1
gelôbon habdun thô 900 1
gelôbon ni quâmin 900 1
gelôbon te im 900 1
gelôbon te mi 900 1
gemaco endi moysese 900 1
gemacon mid mannun 900 1
gemacon thes mannes 900 1
gemang mâri meginthiode 900 1
gemarcod far thesoro 900 1
gemarcode mahtig <EOS> 900 1
gemarcode the mankunnies 900 1
gemeîna sáment martyribus 1000 1
geminis únde in 1000 1
geminsod an themu 900 1
gemunitod uuas an 900 1
gemáchôt íst sub 1000 1
gemôdi gimahlean sîdor 900 1
genam te thera 900 1
genemnide huuande he 900 1
generid ne sî 900 1
generidi thô he 900 1
geng aftar thiu 900 1
geng an iro 900 1
geng an that 900 1
geng an thiu 900 1
geng antat sie 900 1
geng endi hie 900 1
geng endi siu 900 1
geng fiscari gôd 900 1
geng ford te 900 1
geng ford undar 900 1
geng he im 900 1
geng he thô 900 1
geng hebencuninges hugi 900 1
geng iac hie 900 1
geng iac imu 900 1
geng im thanan 900 1
geng im the 900 1
geng im thuo 900 3
geng im thô 900 3
geng im tô 900 1
geng im ên 900 1
geng im ôc 900 1
geng im ûses 900 1
geng imu eft 900 2
geng imu thar 900 1
geng imu thô 900 8
geng imu treulôs 900 1
geng imu uuid 900 1
geng iâmermôd uuas 900 1
geng legda im 900 1
geng mahtig tô 900 1
geng martha môdkarag 900 1
geng mid is 900 1
geng mirki mênscado 900 1
geng ni uuolda 900 1
geng sagda im 900 1
geng thar is 900 1
geng thar âband 900 1
geng that barn 900 1
geng that sie 900 1
geng the man 900 1
geng thes gêres 900 1
geng thuo tegegnes 900 1
geng thô uuid 900 1
geng unhiuri fîund 900 1
geng uuid iro 900 1
gengin bêdie kindiunge 900 1
gengun aftar them 900 1
gengun ambahtman skenkeon 900 1
gengun antat sie 900 1
gengun dolmôde that 900 1
gengun eft thiu 900 1
gengun engilos <EOS> 900 1
gengun folgodun ferahtlîco 900 1
gengun gramharde iudeo 900 1
gengun gumon ôstronea 900 1
gengun im an 900 2
gengun im mid 900 1
gengun im thea 900 1
gengun im thia 900 1
gengun imu is 900 1
gengun imu sân 900 1
gengun ina tuê 900 1
gengun iohannes endi 900 1
gengun iro managa 900 1
gengun is gesîdos 900 1
gengun is hundos 900 1
gengun manage tô 900 1
gengun mid goldfatun 900 1
gengun nâhor mid 900 1
gengun sie im 900 1
gengun sie tuuelibi 900 1
gengun sniumo sîðodun 900 1
gengun suîdo gornondia 900 1
gengun thea gesîdos 900 1
gengun tô antuundun 900 1
gengun uuîf mid 900 1
genimid ôdres mannes 900 1
geniudot sie genôges 900 1
genouuer stêd fadmun 900 1
gente saxonum qui 900 1
gentium gestélle únde 1000 1
genâda sancti spiritus 1000 1
genâdig uuerden <EOS> 900 1
genâhit that hie 900 1
genôg an thiu 900 1
genôg helidos hugiderbie 900 1
genôg sinkas gisamnod 900 1
genôg uuelono geuunnen 900 1
genôges sculun eft 900 1
geotan endi iu 900 1
gequeden liahto fora 900 1
gereuuedi endi gode 900 1
gereuuian endi hietun 900 1
