<BOS> bû endi 900 1
<BOS> capaot <EOS> 900 1
<BOS> caputî <EOS> 900 1
<BOS> cara aftar 900 1
<BOS> cara uuas 900 1
<BOS> carode endi 900 1
<BOS> christ uuart 1000 1
<BOS> christe eleison 900 2
<BOS> christe eleyson 900 1
<BOS> chud ist 800 1
<BOS> chud was 800 1
<BOS> chíd oûh 1000 1
<BOS> clare quidem 900 1
<BOS> clm 6260 900 1
<BOS> cnôsles cumana 900 1
<BOS> cnôsles kennit 900 1
<BOS> conquestio boetii 1000 1
<BOS> contentus casula 900 1
<BOS> cot almahtico 800 1
<BOS> cottidiana tágelîche 1000 1
<BOS> craftag an 900 1
<BOS> craftagoron cuning 900 1
<BOS> crist alouualdo 900 1
<BOS> crist thurh 900 1
<BOS> crist uuarth 1000 1
<BOS> criste standan 900 1
<BOS> criste uuâri 900 1
<BOS> cristes fan 900 1
<BOS> cristes lêrun 900 1
<BOS> cum plurimas 900 1
<BOS> cum sol 900 1
<BOS> cum thi 900 1
<BOS> cuma thîn 900 1
<BOS> cumana te 900 1
<BOS> cumit im 900 1
<BOS> cuning erodes 900 1
<BOS> cuningo craftigost 900 1
<BOS> cuningrîkeo craft 900 1
<BOS> cussiu ine 900 1
<BOS> côs im 900 1
<BOS> côs imu 900 1
<BOS> cûdead iuuua 900 1
<BOS> cœperat a 900 1
<BOS> dages endi 900 1
<BOS> dago liobosto 900 1
<BOS> dar in 900 1
<BOS> darno gedêleas 900 1
<BOS> darno mid 900 1
<BOS> darnungo uuas 900 1
<BOS> dat gafregin 800 1
<BOS> dat sagetun 800 2
<BOS> daz andar 900 1
<BOS> daz chit 1000 1
<BOS> daz chíd 1000 1
<BOS> daz chît 1000 1
<BOS> daz der 900 1
<BOS> daz er 900 2
<BOS> daz hôrtih 900 1
<BOS> daz ih 1000 1
<BOS> daz ist 1000 4
<BOS> daz poculum 1000 1
<BOS> daz sint 1000 1
<BOS> de poeta 800 1
<BOS> deda is 900 1
<BOS> deda thar 900 1
<BOS> dedun im 900 1
<BOS> denne augit 900 1
<BOS> denne daz 900 1
<BOS> denne der 900 3
<BOS> denne hevit 900 1
<BOS> denne ni 900 1
<BOS> denne scal 900 1
<BOS> denne varant 900 1
<BOS> denne verit 900 1
<BOS> denner ze 900 1
<BOS> der antichristo 900 1
<BOS> der dâr 900 1
<BOS> der hapêt 900 1
<BOS> der heiligo 1000 2
<BOS> der si 800 1
